episode,type,rail_idx,target_module_name,port_name,frames,min_mm,final_mm,seated,ep,retracted
0,sfp,2,nic_card_mount_2,sfp_port_1,372,45.8,46.0,False,ep0,False
1,sc,1,sc_port_1,sc_port_base,367,13.7,13.7,False,ep1,False
2,sfp,0,nic_card_mount_0,sfp_port_0,366,45.8,45.8,False,ep2,False
3,sc,1,sc_port_1,sc_port_base,379,13.6,13.8,False,ep3,False
4,sfp,2,nic_card_mount_2,sfp_port_0,378,46.2,46.2,False,ep4,False
5,sc,1,sc_port_1,sc_port_base,377,13.7,13.7,False,ep5,False
6,sfp,2,nic_card_mount_2,sfp_port_1,377,46.3,46.4,False,ep6,False
7,sc,0,sc_port_0,sc_port_base,386,9.6,301.1,False,ep7,True
8,sfp,1,nic_card_mount_1,sfp_port_0,369,0.3,1.1,True,ep8,False
9,sc,0,sc_port_0,sc_port_base,372,13.5,13.5,False,ep9,False
10,sfp,1,nic_card_mount_1,sfp_port_1,355,0.2,1.0,True,ep10,False
11,sc,0,sc_port_0,sc_port_base,381,15.4,17.1,False,ep11,False
12,sfp,4,nic_card_mount_4,sfp_port_0,361,45.8,45.9,False,ep12,False
13,sc,0,sc_port_0,sc_port_base,367,15.8,15.8,False,ep13,False
14,sfp,3,nic_card_mount_3,sfp_port_0,373,0.7,1.1,True,ep14,False
15,sc,0,sc_port_0,sc_port_base,365,193.2,203.3,False,ep15,False
16,sfp,1,nic_card_mount_1,sfp_port_0,370,0.4,1.1,True,ep16,False
17,sc,1,sc_port_1,sc_port_base,376,44.1,94.8,False,ep17,True
18,sfp,4,nic_card_mount_4,sfp_port_1,370,0.4,1.1,True,ep18,False
19,sc,1,sc_port_1,sc_port_base,375,145.8,163.8,False,ep19,False
20,sfp,0,nic_card_mount_0,sfp_port_1,418,0.3,1.1,True,ep20,False
21,sc,1,sc_port_1,sc_port_base,369,17.0,17.3,False,ep21,False
22,sfp,4,nic_card_mount_4,sfp_port_1,355,46.2,46.2,False,ep22,False
23,sc,0,sc_port_0,sc_port_base,443,53.7,53.7,False,ep23,False
24,sfp,1,nic_card_mount_1,sfp_port_1,379,2.1,2.1,True,ep24,False
